name,left slope,right slope,area,depth
Hello World,0.27332952011068135,0.2296529470816267,0.5434392762046922,0.14057404263685225
another row,0.2794412158539589,0.22518701148158196,0.5476943209767651,0.14092952351462085
3rd data,nan,inf,nan,nan
3rd data,0.25832494592893507,0.23495291656670825,0.5293722458724872,0.13593819507695937
3rd data,0.25832494592893507,0.23495291656670825,0.5293722458724872,0.13593819507695937
